date,time,title,sentiment,label,news_num
20-Oct-25,07:00:00,ปริ้นซ์ อินเตอร์เนชั่นแนล ในไทย เกี่ยวข้องหรือไม่กับปรินซ์กรุ๊ปของ เฉิน จื้อ - BBC,0.0,neutral,1
15-Oct-25,07:00:00,เส้นทาง “เฉิน จื้อ” CEO ปริ๊นซ์ กรุ๊ป สหรัฐฯฟ้องริบทรัพย์ครั้งแรกโลก - thaipbs.or.th,0.0,neutral,2
17-Oct-25,06:46:52,สรุปข้อกล่าวหาที่ทางการสหรัฐฯ มีต่อ ‘ปรินซ์กรุ๊ป’ และการเปิดโปงสายสัมพันธ์ที่มีกับผู้นำกัมพูชา - The MATTER,0.0,neutral,3
28-Nov-25,00:57:22,เกาหลีใต้คว่ำบาตร 132 องค์กร พัวพันแก๊งสแกมเมอร์ในเอเชียตะวันออกเฉียงใต้ - CH3Plus.com,0.0,neutral,4
23-Nov-25,06:39:00,สิงคโปร์บุกจับบริษัทสินเชื่อรถยนต์ เชื่อมโยง “ปรินซ์กรุ๊ป” - pptvhd36,0.0,neutral,5
12-Nov-25,08:00:00,"""Prince Group"" กัมพูชา ปฏิเสธเอี่ยวสแกมเมอร์ หลังถูกยึดทรัพย์สินกว่า 4 แสนล้านทั่วโลก - Thairath",0.0,neutral,6
14-Oct-25,07:00:00,ประธานกลุ่ม บริษัท Prince Group ถูกฟ้องในข้อหา ดำเนินการศูนย์หลอกลวง ในกัมพูชา - สถานทูตสหรัฐฯ และสถานกงสุลในประเทศไทย - U.S. Embassy & Consulate in Thailand (.gov),-0.9,negative,7
28-Nov-25,01:43:00,"เกาหลีใต้คว่ำบาตร ""ปรินซ์ โฮลดิง กรุ๊ป"" ฐานเป็นองค์กรอาชญากรรมข้ามชาติ - เดลินิวส์",0.0,neutral,8
25-Nov-25,02:38:09,ส่องคดีทุจริตโลก:ประมวลความเคลื่อนไหวนานาชาติ เดินหน้ายึดทรัพย์ปริ๊นซ์กรุ๊ป 2.2 หมื่น ล. - สำนักข่าวอิศรา,-0.9,negative,9
15-Oct-25,07:00:00,กางอาณาจักร ปรินซ์กรุ๊ป ของ ออกญา เฉินจื้อ ที่ถูก สหรัฐ-สหราชอาณาจักร ยึดทรัพย์ครั้งปวศ. - มติชนออนไลน์,0.0,neutral,10
16-Oct-25,07:00:00,ผ่า ‘ปรินซ์กรุ๊ป’ สหรัฐโยง ‘สแกมเมอร์’ ใช้ที่อยู่ตึก ‘ซิโน-ไทย’ - bangkokbiznews,0.0,neutral,11
17-Nov-25,08:00:00,เผยอีกปรินซ์กรุ๊ปจัดตั้ง 3 บริษัทในญี่ปุ่น-ส่อเป็นแหล่งฟอกเงินจากธุรกิจผิดกฎหมาย | Khaosod - LINE TODAY,-0.9,negative,12
05-Nov-25,08:00:00,เปิดอาณาจักร ‘เฉิน จื้อ’ เจ้าพ่อ Prince Group สู่ผู้ถูกกล่าวหา ‘บงการแก๊งคอลเซ็นเตอร์และฟอกเงิน’ - thestandard.co,-0.9,negative,13
24-Oct-25,07:00:00,เปิดโฉมหน้า “ปริ้นซ์ กรุ๊ป” ขบวนการอาชญากรรมข้ามชาติ สหรัฐฯ-อังกฤษ-ทั่วโลก ลงดาบหนัก - TNN,0.0,neutral,14
08-Nov-25,06:20:38,ดีเอสไอ เร่งสืบหาเครือข่ายเฉินจื้อในไทย โยงเงินทุน “ปรินซ์ กรุ๊ปฯ” - one31.net,0.5,positive,15
03-Nov-25,08:00:00,เกาหลีใต้เริ่มตรวจสอบสำนักงาน “ปรินซ์กรุ๊ป” ในกรุงโซลแล้ว - pptvhd36,0.0,neutral,16
20-Oct-25,07:00:00,แกะรอยผู้ถือหุ้น ‘ปริ้นซ์ อินเตอร์’ ก่อนปัดเอี่ยว ‘ปริ้นซ์ กรุ๊ป’ - bangkokbiznews,0.0,neutral,17
06-Nov-25,08:00:00,ต่างชาติตะลุยไล่ยึดทรัพย์ “เฉิน จื้อ” บิ๊กบอสเครือข่ายสแกมเมอร์ - thaipbs.or.th,0.0,neutral,18
17-Oct-25,07:00:00,บริษัทมหาชนหลายแห่งโร่ชี้แจง หลังมีชื่อเอี่ยว เฉิน จื้อ ประธานปรินซ์กรุ๊ป เจ้าพ่อสแกมเมอร์ระดับโลก - pptvhd36,0.0,neutral,19
05-Nov-25,08:00:00,ฮ่องกงอายัดทรัพย์ “เฉิน จื้อ-ปรินซ์กรุ๊ป” กว่า 1.15 หมื่นล้านบาท - pptvhd36,0.0,neutral,20
